1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: C10000005EEFC441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Dec 21 15:16:01 PST 2019
Mission Sample Count:  1411
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Dec 21 15:16:01 PST 2019
Total Mission Samples:  1411
Total Device Samples:  7250
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/21/19 3:16:01 PM,C,19.202
12/21/19 3:26:01 PM,C,19.265
12/21/19 3:36:01 PM,C,19.265
12/21/19 3:46:01 PM,C,19.265
12/21/19 3:56:01 PM,C,19.265
12/21/19 4:06:01 PM,C,19.265
12/21/19 4:16:01 PM,C,19.265
12/21/19 4:26:01 PM,C,19.327
12/21/19 4:36:01 PM,C,19.327
12/21/19 4:46:01 PM,C,19.327
12/21/19 4:56:01 PM,C,19.327
12/21/19 5:06:01 PM,C,19.327
12/21/19 5:16:01 PM,C,19.327
12/21/19 5:26:01 PM,C,19.327
12/21/19 5:36:01 PM,C,19.327
12/21/19 5:46:01 PM,C,21.829
12/21/19 5:56:01 PM,C,21.329
12/21/19 6:06:01 PM,C,21.204
12/21/19 6:16:01 PM,C,21.204
12/21/19 6:26:01 PM,C,21.204
12/21/19 6:36:01 PM,C,21.266
12/21/19 6:46:01 PM,C,21.391
12/21/19 6:56:01 PM,C,21.391
12/21/19 7:06:01 PM,C,20.954
12/21/19 7:16:01 PM,C,19.953
12/21/19 7:26:01 PM,C,16.7
12/21/19 7:36:01 PM,C,19.015
12/21/19 7:46:01 PM,C,20.141
12/21/19 7:56:01 PM,C,21.016
12/21/19 8:06:01 PM,C,21.829
12/21/19 8:16:01 PM,C,22.642
12/21/19 8:26:01 PM,C,23.267
12/21/19 8:36:01 PM,C,23.892
12/21/19 8:46:01 PM,C,24.393
12/21/19 8:56:01 PM,C,24.893
12/21/19 9:06:01 PM,C,25.268
12/21/19 9:16:01 PM,C,25.643
12/21/19 9:26:01 PM,C,25.893
12/21/19 9:36:01 PM,C,26.143
12/21/19 9:46:01 PM,C,26.393
12/21/19 9:56:01 PM,C,26.58
12/21/19 10:06:01 PM,C,26.768
12/21/19 10:16:01 PM,C,26.892
12/21/19 10:26:01 PM,C,27.08
12/21/19 10:36:01 PM,C,27.205
12/21/19 10:46:01 PM,C,27.267
12/21/19 10:56:01 PM,C,27.392
12/21/19 11:06:01 PM,C,27.455
12/21/19 11:16:01 PM,C,27.58
12/21/19 11:26:01 PM,C,27.642
12/21/19 11:36:01 PM,C,27.642
12/21/19 11:46:01 PM,C,27.705
12/21/19 11:56:01 PM,C,27.767
12/22/19 12:06:01 AM,C,27.83
12/22/19 12:16:01 AM,C,27.892
12/22/19 12:26:01 AM,C,27.955
12/22/19 12:36:01 AM,C,27.955
12/22/19 12:46:01 AM,C,28.017
12/22/19 12:56:01 AM,C,28.08
12/22/19 1:06:01 AM,C,28.08
12/22/19 1:16:01 AM,C,28.142
12/22/19 1:26:01 AM,C,28.205
12/22/19 1:36:01 AM,C,28.205
12/22/19 1:46:01 AM,C,28.267
12/22/19 1:56:01 AM,C,28.33
12/22/19 2:06:01 AM,C,28.33
12/22/19 2:16:01 AM,C,28.392
12/22/19 2:26:01 AM,C,28.392
12/22/19 2:36:01 AM,C,28.455
12/22/19 2:46:01 AM,C,28.517
12/22/19 2:56:01 AM,C,28.517
12/22/19 3:06:01 AM,C,28.579
12/22/19 3:16:01 AM,C,28.642
12/22/19 3:26:01 AM,C,28.642
12/22/19 3:36:01 AM,C,28.704
12/22/19 3:46:01 AM,C,28.704
12/22/19 3:56:01 AM,C,28.767
12/22/19 4:06:01 AM,C,28.829
12/22/19 4:16:01 AM,C,28.829
12/22/19 4:26:01 AM,C,28.892
12/22/19 4:36:01 AM,C,28.954
12/22/19 4:46:01 AM,C,28.954
12/22/19 4:56:01 AM,C,29.017
12/22/19 5:06:01 AM,C,29.017
12/22/19 5:16:01 AM,C,29.079
12/22/19 5:26:01 AM,C,29.142
12/22/19 5:36:01 AM,C,29.142
12/22/19 5:46:01 AM,C,29.204
12/22/19 5:56:01 AM,C,29.204
12/22/19 6:06:01 AM,C,29.267
12/22/19 6:16:01 AM,C,29.267
12/22/19 6:26:01 AM,C,29.329
12/22/19 6:36:01 AM,C,29.329
12/22/19 6:46:01 AM,C,29.392
12/22/19 6:56:01 AM,C,29.392
12/22/19 7:06:01 AM,C,29.454
12/22/19 7:16:01 AM,C,29.454
12/22/19 7:26:01 AM,C,29.517
12/22/19 7:36:01 AM,C,29.517
12/22/19 7:46:01 AM,C,29.517
12/22/19 7:56:01 AM,C,29.579
12/22/19 8:06:01 AM,C,29.579
12/22/19 8:16:01 AM,C,29.641
12/22/19 8:26:01 AM,C,29.641
12/22/19 8:36:01 AM,C,29.704
12/22/19 8:46:01 AM,C,29.704
12/22/19 8:56:01 AM,C,29.766
12/22/19 9:06:01 AM,C,29.766
12/22/19 9:16:01 AM,C,29.766
12/22/19 9:26:01 AM,C,29.829
12/22/19 9:36:01 AM,C,29.829
12/22/19 9:46:01 AM,C,29.829
12/22/19 9:56:01 AM,C,29.891
12/22/19 10:06:01 AM,C,29.891
12/22/19 10:16:01 AM,C,29.891
12/22/19 10:26:01 AM,C,29.891
12/22/19 10:36:01 AM,C,29.954
12/22/19 10:46:01 AM,C,29.954
12/22/19 10:56:01 AM,C,29.954
12/22/19 11:06:01 AM,C,29.954
12/22/19 11:16:01 AM,C,29.954
12/22/19 11:26:01 AM,C,30.016
12/22/19 11:36:01 AM,C,30.016
12/22/19 11:46:01 AM,C,30.016
12/22/19 11:56:01 AM,C,30.016
12/22/19 12:06:01 PM,C,30.016
12/22/19 12:16:01 PM,C,30.016
12/22/19 12:26:01 PM,C,30.016
12/22/19 12:36:01 PM,C,30.016
12/22/19 12:46:01 PM,C,30.016
12/22/19 12:56:01 PM,C,30.016
12/22/19 1:06:01 PM,C,30.016
12/22/19 1:16:01 PM,C,30.016
12/22/19 1:26:01 PM,C,30.016
12/22/19 1:36:01 PM,C,30.016
12/22/19 1:46:01 PM,C,29.954
12/22/19 1:56:01 PM,C,29.954
12/22/19 2:06:01 PM,C,29.954
12/22/19 2:16:01 PM,C,29.891
12/22/19 2:26:01 PM,C,29.891
12/22/19 2:36:01 PM,C,29.891
12/22/19 2:46:01 PM,C,29.891
12/22/19 2:56:01 PM,C,29.829
12/22/19 3:06:01 PM,C,29.829
12/22/19 3:16:01 PM,C,29.829
12/22/19 3:26:01 PM,C,29.829
12/22/19 3:36:01 PM,C,29.829
12/22/19 3:46:01 PM,C,29.766
12/22/19 3:56:01 PM,C,29.766
12/22/19 4:06:01 PM,C,29.766
12/22/19 4:16:01 PM,C,29.766
12/22/19 4:26:01 PM,C,29.704
12/22/19 4:36:01 PM,C,29.704
12/22/19 4:46:01 PM,C,29.704
12/22/19 4:56:01 PM,C,29.704
12/22/19 5:06:01 PM,C,29.704
12/22/19 5:16:01 PM,C,29.704
12/22/19 5:26:01 PM,C,29.641
12/22/19 5:36:01 PM,C,29.641
12/22/19 5:46:01 PM,C,29.641
12/22/19 5:56:01 PM,C,29.641
12/22/19 6:06:01 PM,C,29.641
12/22/19 6:16:01 PM,C,29.641
12/22/19 6:26:01 PM,C,29.641
12/22/19 6:36:01 PM,C,29.641
12/22/19 6:46:01 PM,C,29.641
12/22/19 6:56:01 PM,C,29.641
12/22/19 7:06:01 PM,C,29.641
12/22/19 7:16:01 PM,C,29.641
12/22/19 7:26:01 PM,C,29.641
12/22/19 7:36:01 PM,C,29.641
12/22/19 7:46:01 PM,C,29.641
12/22/19 7:56:01 PM,C,29.641
12/22/19 8:06:01 PM,C,29.704
12/22/19 8:16:01 PM,C,29.704
12/22/19 8:26:01 PM,C,29.704
12/22/19 8:36:01 PM,C,29.766
12/22/19 8:46:01 PM,C,29.766
12/22/19 8:56:01 PM,C,29.829
12/22/19 9:06:01 PM,C,29.829
12/22/19 9:16:01 PM,C,29.891
12/22/19 9:26:01 PM,C,29.954
12/22/19 9:36:01 PM,C,30.016
12/22/19 9:46:01 PM,C,30.079
12/22/19 9:56:01 PM,C,30.079
12/22/19 10:06:01 PM,C,30.141
12/22/19 10:16:01 PM,C,30.266
12/22/19 10:26:01 PM,C,30.329
12/22/19 10:36:01 PM,C,30.391
12/22/19 10:46:01 PM,C,30.453
12/22/19 10:56:01 PM,C,30.578
12/22/19 11:06:01 PM,C,30.641
12/22/19 11:16:01 PM,C,30.766
12/22/19 11:26:01 PM,C,30.891
12/22/19 11:36:01 PM,C,30.953
12/22/19 11:46:01 PM,C,31.078
12/22/19 11:56:01 PM,C,31.203
12/23/19 12:06:01 AM,C,31.328
12/23/19 12:16:01 AM,C,31.453
12/23/19 12:26:01 AM,C,31.578
12/23/19 12:36:01 AM,C,31.702
12/23/19 12:46:01 AM,C,31.827
12/23/19 12:56:01 AM,C,32.015
12/23/19 1:06:01 AM,C,32.14
12/23/19 1:16:01 AM,C,32.264
12/23/19 1:26:01 AM,C,32.389
12/23/19 1:36:01 AM,C,32.577
12/23/19 1:46:01 AM,C,32.702
12/23/19 1:56:01 AM,C,32.826
12/23/19 2:06:01 AM,C,33.014
12/23/19 2:16:01 AM,C,33.139
12/23/19 2:26:01 AM,C,33.263
12/23/19 2:36:01 AM,C,33.388
12/23/19 2:46:01 AM,C,33.513
12/23/19 2:56:01 AM,C,33.638
12/23/19 3:06:01 AM,C,33.763
12/23/19 3:16:01 AM,C,33.888
12/23/19 3:26:01 AM,C,33.95
12/23/19 3:36:01 AM,C,34.075
12/23/19 3:46:01 AM,C,34.138
12/23/19 3:56:01 AM,C,34.2
12/23/19 4:06:01 AM,C,34.262
