1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: F40000005EF5A541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Dec 09 16:26:01 PST 2019
Mission Sample Count:  1708
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Dec 09 16:26:01 PST 2019
Total Mission Samples:  1708
Total Device Samples:  6471
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
12/20/19 11:26:01 AM,C,21.481
12/20/19 11:36:01 AM,C,21.481
12/20/19 11:46:01 AM,C,21.481
12/20/19 11:56:01 AM,C,21.544
12/20/19 12:06:01 PM,C,21.544
12/20/19 12:16:01 PM,C,21.544
12/20/19 12:26:01 PM,C,21.606
12/20/19 12:36:01 PM,C,21.669
12/20/19 12:46:01 PM,C,21.669
12/20/19 12:56:01 PM,C,21.731
12/20/19 1:06:01 PM,C,21.731
12/20/19 1:16:01 PM,C,21.794
12/20/19 1:26:01 PM,C,21.794
12/20/19 1:36:01 PM,C,21.856
12/20/19 1:46:01 PM,C,21.856
12/20/19 1:56:01 PM,C,21.919
12/20/19 2:06:01 PM,C,21.919
12/20/19 2:16:01 PM,C,21.981
12/20/19 2:26:01 PM,C,21.981
12/20/19 2:36:01 PM,C,21.981
12/20/19 2:46:01 PM,C,22.044
12/20/19 2:56:01 PM,C,22.044
12/20/19 3:06:01 PM,C,22.107
12/20/19 3:16:01 PM,C,22.107
12/20/19 3:26:01 PM,C,22.107
12/20/19 3:36:01 PM,C,22.107
12/20/19 3:46:01 PM,C,22.107
12/20/19 3:56:01 PM,C,22.107
12/20/19 4:06:01 PM,C,22.107
12/20/19 4:16:01 PM,C,22.044
12/20/19 4:26:01 PM,C,22.044
12/20/19 4:36:01 PM,C,22.044
12/20/19 4:46:01 PM,C,22.044
12/20/19 4:56:01 PM,C,21.981
12/20/19 5:06:01 PM,C,21.981
12/20/19 5:16:01 PM,C,21.981
12/20/19 5:26:01 PM,C,21.981
12/20/19 5:36:01 PM,C,21.981
12/20/19 5:46:01 PM,C,21.981
12/20/19 5:56:01 PM,C,21.981
12/20/19 6:06:01 PM,C,21.981
12/20/19 6:16:01 PM,C,21.919
12/20/19 6:26:01 PM,C,21.919
12/20/19 6:36:01 PM,C,21.919
12/20/19 6:46:01 PM,C,21.919
12/20/19 6:56:01 PM,C,21.919
12/20/19 7:06:01 PM,C,21.919
12/20/19 7:16:01 PM,C,21.856
12/20/19 7:26:01 PM,C,21.856
12/20/19 7:36:01 PM,C,21.856
12/20/19 7:46:01 PM,C,21.856
12/20/19 7:56:01 PM,C,21.856
12/20/19 8:06:01 PM,C,21.794
12/20/19 8:16:01 PM,C,21.794
12/20/19 8:26:01 PM,C,21.794
12/20/19 8:36:01 PM,C,21.794
12/20/19 8:46:01 PM,C,21.794
12/20/19 8:56:01 PM,C,21.794
12/20/19 9:06:01 PM,C,21.794
12/20/19 9:16:01 PM,C,21.794
12/20/19 9:26:01 PM,C,21.731
12/20/19 9:36:01 PM,C,21.731
12/20/19 9:46:01 PM,C,21.731
12/20/19 9:56:01 PM,C,21.731
12/20/19 10:06:01 PM,C,21.731
12/20/19 10:16:01 PM,C,21.731
12/20/19 10:26:01 PM,C,21.731
12/20/19 10:36:01 PM,C,21.669
12/20/19 10:46:01 PM,C,21.669
12/20/19 10:56:01 PM,C,21.669
12/20/19 11:06:01 PM,C,21.669
12/20/19 11:16:01 PM,C,21.669
12/20/19 11:26:01 PM,C,21.606
12/20/19 11:36:01 PM,C,21.606
12/20/19 11:46:01 PM,C,21.606
12/20/19 11:56:01 PM,C,21.606
12/21/19 12:06:01 AM,C,21.606
12/21/19 12:16:01 AM,C,21.606
12/21/19 12:26:01 AM,C,21.544
12/21/19 12:36:01 AM,C,21.544
12/21/19 12:46:01 AM,C,21.544
12/21/19 12:56:01 AM,C,21.544
12/21/19 1:06:01 AM,C,21.544
12/21/19 1:16:01 AM,C,21.544
12/21/19 1:26:01 AM,C,21.544
12/21/19 1:36:01 AM,C,21.544
12/21/19 1:46:01 AM,C,21.481
12/21/19 1:56:01 AM,C,21.481
12/21/19 2:06:01 AM,C,21.481
12/21/19 2:16:01 AM,C,21.481
12/21/19 2:26:01 AM,C,21.481
12/21/19 2:36:01 AM,C,21.481
12/21/19 2:46:01 AM,C,21.481
12/21/19 2:56:01 AM,C,21.419
12/21/19 3:06:01 AM,C,21.419
12/21/19 3:16:01 AM,C,21.419
12/21/19 3:26:01 AM,C,21.419
12/21/19 3:36:01 AM,C,21.419
12/21/19 3:46:01 AM,C,21.419
12/21/19 3:56:01 AM,C,21.356
12/21/19 4:06:01 AM,C,21.356
12/21/19 4:16:01 AM,C,21.356
12/21/19 4:26:01 AM,C,21.356
12/21/19 4:36:01 AM,C,21.356
12/21/19 4:46:01 AM,C,21.356
12/21/19 4:56:01 AM,C,21.356
12/21/19 5:06:01 AM,C,21.356
12/21/19 5:16:01 AM,C,21.294
12/21/19 5:26:01 AM,C,21.294
12/21/19 5:36:01 AM,C,21.294
12/21/19 5:46:01 AM,C,21.294
12/21/19 5:56:01 AM,C,21.294
12/21/19 6:06:01 AM,C,21.294
12/21/19 6:16:01 AM,C,21.294
12/21/19 6:26:01 AM,C,21.294
12/21/19 6:36:01 AM,C,21.231
12/21/19 6:46:01 AM,C,21.231
12/21/19 6:56:01 AM,C,21.231
12/21/19 7:06:01 AM,C,21.231
12/21/19 7:16:01 AM,C,21.231
12/21/19 7:26:01 AM,C,21.231
12/21/19 7:36:01 AM,C,21.168
12/21/19 7:46:01 AM,C,21.168
12/21/19 7:56:01 AM,C,21.168
12/21/19 8:06:01 AM,C,21.168
12/21/19 8:16:01 AM,C,21.168
12/21/19 8:26:01 AM,C,21.231
12/21/19 8:36:01 AM,C,21.231
12/21/19 8:46:01 AM,C,21.231
12/21/19 8:56:01 AM,C,21.231
12/21/19 9:06:01 AM,C,21.294
12/21/19 9:16:01 AM,C,21.294
12/21/19 9:26:01 AM,C,21.294
12/21/19 9:36:01 AM,C,21.294
12/21/19 9:46:01 AM,C,21.356
12/21/19 9:56:01 AM,C,21.356
12/21/19 10:06:01 AM,C,21.356
12/21/19 10:16:01 AM,C,21.356
12/21/19 10:26:01 AM,C,21.419
12/21/19 10:36:01 AM,C,21.419
12/21/19 10:46:01 AM,C,21.419
12/21/19 10:56:01 AM,C,21.419
12/21/19 11:06:01 AM,C,21.419
12/21/19 11:16:01 AM,C,21.419
12/21/19 11:26:01 AM,C,21.419
12/21/19 11:36:01 AM,C,21.419
12/21/19 11:46:01 AM,C,21.419
12/21/19 11:56:01 AM,C,21.481
12/21/19 12:06:01 PM,C,21.481
12/21/19 12:16:01 PM,C,21.481
12/21/19 12:26:01 PM,C,21.481
12/21/19 12:36:01 PM,C,21.481
12/21/19 12:46:01 PM,C,21.481
12/21/19 12:56:01 PM,C,21.606
